PF00668	Condensation domain [NRPS]
PF00501	AMP-binding enzyme [NRPS]
PF00109	Beta-ketoacyl synthase N-terminal [PKS]
PF02801	Beta-ketoacyl synthase C-terminal [PKS]
PF01397	Terpene synthase, N-terminal domain (Terpene_synth) [Terpene]
PF03936	Terpene synthase family, metal binding domain (Terpene_synth_C) [Terpene]
PF00195	Chalcone and stilbene synthases, N-terminal domain (Cahl_sti_synt_N)
PF02797	Chalcone and stilbene synthases, C-terminal domain (Chal_sti_synt_C)
PF05147	Lanthionine synthetase C-like protein (LANC_like) [lantipeptide/RiPP]
PF00494	Squalene/phytoene synthase (SQS_PSY) [Terpene]
PF00432	Prenyltransferase and squalene oxidase repeat (Prenyltrans)
PF02624	YcaO cyclodehydratase, ATP-ad MG2+-binding (YcaO) [RiPP]
