PF00698	59,176,209
PF00196	219,94,82
PF08545	189,102,84
PF08541	146,207,81
PF00198	204,74,202
PF14246	198,67,196
PF05593	89,211,110
PF14765	173,56,182
PF13602	101,131,226
PF01135	204,80,91
PF00005	129,201,63
PF02801	215,78,102
PF00109	112,116,228
PF16197	240,150,172
PF06500	65,96,200
PF03704	217,89,196
PF03358	90,228,61
PF00067	85,216,107
PF08240	211,65,138
PF07690	193,224,74
PF00550	103,191,88
PF00975	207,80,138
PF08352	90,183,173
PF08659	66,209,188
PF13459	138,59,179
PF00496	199,94,116
PF00107	81,108,215
PF00440	73,212,190
PF00528	77,208,225
PF00486	204,153,57
PF08990	180,75,55
PF00296	180,112,78
PF16363	162,221,65
PF00201	225,150,107
PF01041	59,139,191
PF00728	83,201,133
PF04101	211,90,140
PF00483	198,101,87
PF00908	184,89,121
PF08421	209,96,160
PF00749	218,142,61
PF06722	200,129,88
PF13489	188,189,66
PF02838	221,191,77
PF08448	50,90,192
PF13191	186,102,77
PF01370	98,102,214
PF03559	74,201,66
PF00664	149,226,73
PF08484	229,72,107
PF08242	187,59,115
PF00378	218,72,181
PF02771	105,135,218
PF02558	91,128,221
PF08546	188,163,68
PF00172	121,178,76
PF00441	85,191,117
PF00755	97,225,203
PF02770	225,186,97
PF00732	180,89,214
PF00248	225,205,58
PF00743	203,74,151
PF01648	85,184,135
PF08354	199,58,132
PF05199	186,52,106
PF13460	188,201,78
PF07859	183,51,179
PF13561	73,205,127
PF13452	215,186,64
PF00891	50,51,190
PF01575	218,129,86
PF16073	77,115,183
PF00106	182,219,73
PF08493	86,63,214
PF14027	77,150,178
PF07110	64,130,182
PF07876	183,91,165
PF14087	98,222,195
PF02798	82,167,186
PF13450	91,180,227
PF08592	75,196,107
PF01328	200,64,64
PF01565	226,88,136
PF08031	210,73,83
PF00753	206,198,96
PF00072	100,107,203
PF02954	168,63,200
PF13646	161,180,58
PF00126	125,227,79
PF00724	157,188,65
PF02518	80,94,225
PF00782	154,195,61
PF01638	91,150,227
PF00512	193,125,62
PF01494	182,175,59
PF08241	106,219,159
PF00202	49,163,189
PF04116	171,60,209
PF05762	222,87,201
PF13426	182,140,74
PF00672	124,89,195
PF03466	55,136,195
PF13738	213,91,84
PF00158	101,145,216
PF00171	105,213,139
PF13185	158,189,90
PF00355	186,77,145
PF00501	60,217,223
PF08447	222,97,193
PF00561	86,180,151
PF02803	218,187,56
PF10756	126,80,191
PF01144	106,96,228
PF12802	46,89,185
PF04978	102,82,189
PF00174	152,193,93
PF13370	220,216,65
PF03404	105,224,154
PF00108	82,90,195
PF06778	179,57,142
PF13672	211,74,134
PF13649	227,135,74
PF13411	100,202,107
PF01063	52,144,188
PF00324	82,225,201
PF13193	182,50,118
PF00069	104,187,65
PF00300	135,184,63
PF14104	67,132,210
PF13924	187,88,47
PF13556	180,199,81
PF13546	119,52,208
PF00923	208,111,74
PF04539	66,187,131
PF03795	54,71,186
PF17195	59,186,68
PF14325	199,204,89
PF00140	210,210,74
PF01220	130,67,203
PF01872	225,80,120
PF16861	183,87,154
PF04820	179,74,194
PF04542	184,59,197
PF04545	75,207,224
PF01596	168,187,48
PF00667	145,74,201
PF01757	50,152,200
PF04072	94,159,219
PF00999	229,67,191
PF16173	173,205,93
PF16116	84,186,57
PF00725	180,78,60
PF00175	177,211,96
PF00480	205,99,210
PF00797	68,124,226
PF02737	212,65,199
PF02543	146,218,61
PF00258	77,169,183
PF00931	165,94,211
PF00848	76,134,184
PF01408	76,117,190
PF00866	202,87,131
PF05711	175,228,98
PF05050	95,204,52
PF13424	147,215,101
PF03403	179,184,62
PF02195	55,214,209
PF08327	81,199,171
PF02894	195,223,82
PF11960	155,210,61
PF07993	100,212,204
PF04082	51,172,200
PF03959	54,166,181
PF00487	104,51,205
PF10604	105,204,74
PF00117	159,201,96
PF11583	100,210,108
PF00425	188,116,88
PF04715	163,87,183
PF00676	180,115,48
PF00535	224,122,96
PF13847	214,74,181
PF06071	74,145,213
PF11599	221,99,205
PF00534	228,92,150
PF06769	110,190,87
PF02604	204,60,69
PF00190	180,66,175
PF02779	189,186,84
PF05721	72,132,214
PF14606	88,183,75
PF13641	140,74,190
PF01926	105,180,226
PF04055	149,56,222
PF00588	84,205,178
PF01061	139,217,106
PF02780	76,206,101
PF06963	165,219,97
PF00071	129,102,217
PF02458	57,117,190
PF00160	130,221,72
PF02580	187,129,75
PF06609	125,190,81
PF13418	64,111,202
PF13415	189,159,53
PF00155	89,113,198
PF01774	188,47,117
PF02492	79,112,178
PF10862	103,118,212
PF03640	90,125,194
PF01553	87,176,216
PF13473	54,142,203
PF01730	149,214,61
PF13822	226,73,128
PF01266	123,179,59
PF05368	97,49,192
PF17196	82,224,127
PF01814	120,91,227
PF04476	53,182,128
PF14447	61,113,195
PF10370	120,52,207
PF12833	216,58,224
PF00384	65,194,78
PF13466	206,83,63
PF13673	88,180,95
PF13378	191,184,94
PF02678	139,213,61
PF02515	226,102,90
PF12146	140,98,205
PF00205	149,194,69
PF01557	71,203,125
PF06241	225,107,224
PF14219	177,190,93
PF00587	228,96,220
PF03321	220,187,68
PF13581	86,179,88
PF02775	156,179,45
PF02776	55,81,185
PF02627	58,205,164
PF03129	115,202,95
PF01966	92,193,119
PF05726	68,194,205
PF13499	176,79,197
PF01965	66,224,145
PF03364	221,94,106
PF01568	184,132,64
PF07973	220,97,228
PF00206	217,92,141
PF00857	144,224,70
PF01817	118,210,66
PF01474	126,217,84
PF01546	88,213,108
PF02129	210,171,79
PF13454	102,219,118
PF10397	198,156,85
PF03176	228,109,193
PF07617	173,221,85
PF05610	79,223,124
PF08530	210,70,92
PF01523	83,181,55
PF05988	204,191,90
PF08012	177,49,186
PF00962	226,153,81
PF00984	69,189,184
PF03033	157,218,79
PF13517	77,199,76
PF02597	73,117,196
PF02574	130,111,228
PF16864	84,199,85
PF01385	95,115,208
PF04321	196,203,60
PF00266	214,54,122
PF03721	156,194,58
PF00004	57,194,204
PF01053	142,222,85
PF05185	130,195,89
PF03781	206,81,170
PF02861	97,199,190
PF12840	157,225,93
PF10431	190,198,67
PF03807	194,51,111
PF12323	102,226,140
PF02310	145,190,60
PF03720	221,130,74
PF03109	197,149,67
PF00884	61,103,198
PF02036	56,163,207
PF07593	157,212,86
PF13279	213,114,82
PF02151	179,74,81
PF07282	188,84,136
PF07724	132,215,72
PF04234	172,94,217
PF14310	206,58,194
PF00933	179,79,172
PF07676	49,78,191
PF01915	181,96,75
PF00860	216,88,217
PF05231	210,153,97
PF00768	227,157,83
PF01594	226,96,145
PF07228	85,195,217
PF13023	83,142,201
PF01039	180,136,60
PF13302	105,146,215
PF00271	104,224,158
PF04851	51,64,189
PF03457	219,106,194
PF13578	106,221,159
PF00326	77,97,209
PF01558	89,196,208
PF01855	146,196,83
PF03756	178,81,93
PF02785	82,186,211
PF02786	190,97,205
PF00364	67,214,213
PF00289	59,114,187
PF17147	179,47,158
PF12349	126,60,182
PF00668	224,184,98
PF13323	109,62,205
PF00144	92,159,200
PF00368	67,203,137
PF00149	181,197,58
