# Class	Pfam Accession	Family	Summary
# 
Core Biosynthetic	PF00109	ketoacyl-synt	Beta-ketoacyl synthase, N-terminal domain
Core Biosynthetic	PF02801	Ketoacyl-synt_C	Beta-ketoacyl synthase, C-terminal domain
Core Biosynthetic	PF00668	Condensation	Condensation domain
Core Biosynthetic	PF01397	Terpene_synth	Terpene synthase, N-terminal domain
#
Core Biosynthetic	PF00501	AMP-binding	AMP-binding enzyme
Core Biosynthetic	PF05147	LANC_like	Lanthionine synthetase C-like protein
Core Biosynthetic	PF00195	Chal_sti_synt_N	Chalcone and stilbene synthases, N-terminal domain
Core Biosynthetic	PF02797	Chal_sti_synt_C	Chalcone and stilbene synthases, C-terminal domain
#
Other Biosynthetic	PF00550		Phosphopantetheine attachment site
Other Biosynthetic	PF00106		short chain dehydrogenase
Other Biosynthetic	PF01370		NAD dependent epimerase/dehydratase family
Other Biosynthetic	PF00535		Glycosyl transferase family 2
Other Biosynthetic	PF00534		Glycosyl transferases group 1
Other Biosynthetic	PF00698		Acyl transferase domain
Other Biosynthetic	PF07992		Pyridine nucleotide-disulphide oxidoreductase
Other Biosynthetic	PF00070		Pyridine nucleotide-disulphide oxidoreductase
Other Biosynthetic	PF00483		Nucleotidyl transferase
Other Biosynthetic	PF08659		KR domain
Other Biosynthetic	PF00107		Zinc-binding dehydrogenase
Other Biosynthetic	PF00561		alpha/beta hydrolase fold
Other Biosynthetic	PF08240		Alcohol dehydrogenase GroES-like domain
Other Biosynthetic	PF00067		Cytochrome P450
Other Biosynthetic	PF00400		WD domain, G-beta repeat
Other Biosynthetic	PF08241		Methyltransferase domain
Other Biosynthetic	PF00441		Acyl-CoA dehydrogenase, C-terminal domain
Other Biosynthetic	PF00583		Acetyltransferase (GNAT) family
Other Biosynthetic	PF01266		FAD dependent oxidoreductase
Other Biosynthetic	PF02771		Acyl-CoA dehydrogenase, N-terminal domain
Other Biosynthetic	PF01494		FAD binding domain
Other Biosynthetic	PF02770		Acyl-CoA dehydrogenase, middle domain
Other Biosynthetic	PF04055		Radical SAM superfamily
Other Biosynthetic	PF00975		Thioesterase domain
Other Biosynthetic	PF01041		DegT/DnrJ/EryC1/StrS aminotransferase family
Other Biosynthetic	PF00155		Aminotransferase class I and II
Other Biosynthetic	PF08541		3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal
Other Biosynthetic	PF01943		Polysaccharide biosynthesis protein
Other Biosynthetic	PF00378		Enoyl-CoA hydratase/isomerase family
Other Biosynthetic	PF08545		3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III
Other Biosynthetic	PF01593		Flavin containing amine oxidoreductase
Other Biosynthetic	PF03721		UDP-glucose/GDP-mannose dehydrogenase family, NAD binding domain
Other Biosynthetic	PF03446		NAD binding domain of 6-phosphogluconate dehydrogenase
Other Biosynthetic	PF00984		UDP-glucose/GDP-mannose dehydrogenase family, central domain
Other Biosynthetic	PF03720		UDP-glucose/GDP-mannose dehydrogenase family, UDP binding domain
